time,x
1,-6.095
2,-6.095
3,-6.1
4,-6.1
5,-6.095
6,-6.095
7,-6.1
8,-6.105
9,-6.105
10,-6.115
11,-6.105
12,-6.1
13,-6.095
14,-6.09
15,-6.08
16,-6.075
17,-6.065
18,-6.06
19,-6.035
20,-6.015
21,-6
22,-5.975
23,-5.955
24,-5.92
25,-5.89
26,-5.865
27,-5.83
28,-5.805
29,-5.775
30,-5.75
31,-5.725
32,-5.705
33,-5.695
34,-5.68
35,-5.67
36,-5.655
37,-5.64
38,-5.635
39,-5.635
40,-5.64
41,-5.64
42,-5.64
43,-5.65
44,-5.66
45,-5.68
46,-5.7
47,-5.71
48,-5.71
49,-5.715
50,-5.72
51,-5.73
52,-5.735
53,-5.74
54,-5.77
55,-5.78
56,-5.775
57,-5.78
58,-5.79
59,-5.785
60,-5.79
61,-5.8
62,-5.81
63,-5.815
64,-5.8
65,-5.805
66,-5.815
67,-5.82
68,-5.82
69,-5.82
70,-5.825
71,-5.82
72,-5.83
73,-5.83
74,-5.82
75,-5.81
76,-5.815
77,-5.82
78,-5.82
79,-5.815
80,-5.815
81,-5.8
82,-5.79
83,-5.78
84,-5.77
85,-5.76
86,-5.755
87,-5.76
88,-5.765
89,-5.76
90,-5.76
91,-5.75
92,-5.74
93,-5.72
94,-5.7
95,-5.69
96,-5.695
97,-5.7
98,-5.695
99,-5.7
100,-5.71
101,-5.71
102,-5.72
103,-5.735
104,-5.755
105,-5.775
106,-5.79
107,-5.8
108,-5.825
109,-5.84
110,-5.845
111,-5.85
112,-5.86
113,-5.875
114,-5.865
115,-5.86
116,-5.855
117,-5.84
118,-5.84
119,-5.84
120,-5.84
121,-5.835
122,-5.855
123,-5.855
124,-5.815
125,-5.695
126,-5.555
127,-5.345
128,-5.015
129,-4.62
130,-4.265
131,-4.055
132,-3.985
133,-4
134,-4.175
135,-4.455
136,-4.87
137,-5.32
138,-5.775
139,-6.1
140,-6.245
141,-6.245
142,-6.245
143,-6.245
144,-6.245
145,-6.21
146,-6.155
147,-6.105
148,-6.07
149,-6.065
150,-6.06
151,-6.045
152,-6.02
153,-6.01
154,-6.005
155,-6.015
156,-6.015
157,-6.01
158,-6.01
159,-6.01
160,-6.01
161,-6
162,-5.985
163,-5.98
164,-5.975
165,-5.96
166,-5.96
167,-5.94
168,-5.905
169,-5.875
170,-5.865
171,-5.825
172,-5.77
173,-5.73
174,-5.69
