"time","signal"
"01JUN17:00:00",981.5483333
"01JUN17:00:30",1019.1966667
"01JUN17:01:00",1015.1066667
"01JUN17:01:30",1014.5666667
"01JUN17:02:00",1014.5
"01JUN17:02:30",1010.9383333
"01JUN17:03:00",954.015
"01JUN17:03:30",943.7966667
"01JUN17:04:00",948.3266667
"01JUN17:04:30",945.92
"01JUN17:05:00",945.725
"01JUN17:05:30",946.4616667
"01JUN17:06:00",1073.6916667
"01JUN17:06:30",1073.9
"01JUN17:07:00",1189.4633333
"01JUN17:07:30",1152.655
"01JUN17:08:00",1086.26
"01JUN17:08:30",991.59
"01JUN17:09:00",897.3316667
"01JUN17:09:30",996.535
"01JUN17:10:00",1462.6716667
"01JUN17:10:30",1311.3033333
"01JUN17:11:00",1487.6516667
"01JUN17:11:30",1541.291667
"01JUN17:12:00",1521.333333
"01JUN17:12:30",1505.056667
"01JUN17:13:00",1552.61
"01JUN17:13:30",1709.758333
"01JUN17:14:00",1780.303333
"01JUN17:14:30",1763.24
"01JUN17:15:00",1776.635
"01JUN17:15:30",1825.986667
"01JUN17:16:00",1824.913333
"01JUN17:16:30",1780.02
"01JUN17:17:00",1734.358333
"01JUN17:17:30",1764.818333
"01JUN17:18:00",1730.536667
"01JUN17:18:30",1753.918333
"01JUN17:19:00",1795.518333
"01JUN17:19:30",1821.33
"01JUN17:20:00",1811.08
"01JUN17:20:30",1799.975
"01JUN17:21:00",1738.115
"01JUN17:21:30",1671.101667
"01JUN17:22:00",873.8316667
"01JUN17:22:30",732.6833333
"01JUN17:23:00",750.715
"01JUN17:23:30",734.485
"02JUN17:00:00",958.6666667
"02JUN17:00:30",983.5766667
"02JUN17:01:00",992.2383333
"02JUN17:01:30",982.6566667
"02JUN17:02:00",984.08
"02JUN17:02:30",982.2683333
"02JUN17:03:00",929.28
"02JUN17:03:30",924.4966667
"02JUN17:04:00",925.8233333
"02JUN17:04:30",923.275
"02JUN17:05:00",930.3483333
"02JUN17:05:30",1079.875
"02JUN17:06:00",1101.76
"02JUN17:06:30",1107.2483333
"02JUN17:07:00",1182.9233333
"02JUN17:07:30",1036.255
"02JUN17:08:00",987.7333333
"02JUN17:08:30",1029.7583333
"02JUN17:09:00",1061.3233333
"02JUN17:09:30",1041.0316667
"02JUN17:10:00",1473.215
"02JUN17:10:30",1343.245
"02JUN17:11:00",1509.748333
"02JUN17:11:30",1528.083333
"02JUN17:12:00",1474.3083333
"02JUN17:12:30",1419.625
"02JUN17:13:00",1407.5633333
"02JUN17:13:30",1483.5316667
"02JUN17:14:00",1517.095
"02JUN17:14:30",1619.541667
"02JUN17:15:00",1664.583333
"02JUN17:15:30",1706.888333
"02JUN17:16:00",1649.373333
"02JUN17:16:30",1680.523333
"02JUN17:17:00",1657.998333
"02JUN17:17:30",1653.081667
"02JUN17:18:00",1644.108333
"02JUN17:18:30",1648.843333
"02JUN17:19:00",1627.38
"02JUN17:19:30",1701.953333
"02JUN17:20:00",1668.915
"02JUN17:20:30",1689.778333
"02JUN17:21:00",1709.186667
"02JUN17:21:30",1638.355
"02JUN17:22:00",886.2566667
"02JUN17:22:30",739.04
"02JUN17:23:00",751.6266667
"02JUN17:23:30",762.9633333
"05JUN17:00:00",1149.51
"05JUN17:00:30",1171.9933333
"05JUN17:01:00",1174.5883333
"05JUN17:01:30",1154.4
"05JUN17:02:00",1092.225
"05JUN17:02:30",1078.7183333
"05JUN17:03:00",1066.04
"05JUN17:03:30",1068.5766667
"05JUN17:04:00",1065.7966667
"05JUN17:04:30",1056.425
"05JUN17:05:00",1033.96
"05JUN17:05:30",1130.1816667
"05JUN17:06:00",1136.6466667
"05JUN17:06:30",1148.4833333
"05JUN17:07:00",1333.84
"05JUN17:07:30",1224.8766667
"05JUN17:08:00",1318.8366667
"05JUN17:08:30",1292.5783333
"05JUN17:09:00",1550.79
"05JUN17:09:30",1705.198333
"05JUN17:10:00",1718.25
"05JUN17:10:30",1633.153333
"05JUN17:11:00",1806.38
"05JUN17:11:30",1780.435
"05JUN17:12:00",1799.466667
"05JUN17:12:30",1703.465
"05JUN17:13:00",1720.408333
"05JUN17:13:30",1709.535
"05JUN17:14:00",1759.411667
"05JUN17:14:30",1781.601667
"05JUN17:15:00",1806.05
"05JUN17:15:30",1893.493333
"05JUN17:16:00",2000.381667
"05JUN17:16:30",1980.935
"05JUN17:17:00",1924.443333
"05JUN17:17:30",1919.816667
"05JUN17:18:00",2014.491667
"05JUN17:18:30",1930.52
"05JUN17:19:00",1983.685
"05JUN17:19:30",1977.433333
"05JUN17:20:00",1905.5
"05JUN17:20:30",1981.303333
"05JUN17:21:00",1944.128333
"05JUN17:21:30",1946.946667
"05JUN17:22:00",1048.6966667
"05JUN17:22:30",874.4883333
"05JUN17:23:00",844.715
"05JUN17:23:30",766.075
"06JUN17:00:00",779.78
"06JUN17:00:30",979.2483333
"06JUN17:01:00",1009.5066667
"06JUN17:01:30",1006.8333333
"06JUN17:02:00",1007.1566667
"06JUN17:02:30",1000.115
"06JUN17:03:00",948.605
"06JUN17:03:30",943.7383333
"06JUN17:04:00",940.6516667
